ds,yhat,yhat_lower,yhat_upper
2019-01-01,-2264.4350801487626,-7640.21825541823,3412.73694002603
2019-01-02,-1966.443747316247,-7734.148264515359,3901.5974198328136
2019-01-03,-1821.9151462836744,-7023.54657119661,3653.284635907405
2019-01-04,-1644.2565615965818,-7562.058952957431,4011.5218474920202
2019-01-05,-1478.3964540860738,-6943.3475794752285,4159.563591290112
2019-01-06,-1319.7173537192389,-6977.074463147427,4284.7147167126095
2019-01-07,-1114.1633964639286,-6775.3176903971025,4380.219041229981
2019-01-08,-1081.7185794444413,-6928.663220936765,4116.879580322455
2019-01-09,-940.0871507898933,-6572.228156102721,4788.573443881379
2019-01-10,-958.0554490046984,-6417.313080319496,4641.893911919726
2019-01-11,-945.4513285632652,-6850.706584733818,4793.76629998643
2019-01-12,-943.5064215358661,-6839.907740313077,4746.824286878027
2019-01-13,-943.8748631105191,-6699.69903915271,4806.485117653294
2019-01-14,-888.8286305987185,-6692.8732831098605,4552.360325750855
2019-01-15,-994.823361663231,-6715.674847507715,4830.952634647389
2019-01-16,-976.263843376119,-6306.323923744188,4447.977742905313
2019-01-17,-1098.9463045058087,-6593.766851462014,4250.474322135613
2019-01-18,-1170.0915656469979,-6636.033588209582,4221.710574989073
2019-01-19,-1228.7723709343059,-6597.094965136573,4327.860230840656
2019-01-20,-1264.9868110592406,-6907.806101620322,4530.731472039097
2019-01-21,-1219.896523620564,-6475.223696417852,4450.447465773908
2019-01-22,-1309.4223677873865,-7384.818901143924,4296.257627299717
2019-01-23,-1248.0259234250761,-6667.235877098017,4689.132153661256
2019-01-24,-1302.1534569867636,-7064.643506942356,4027.1758721899546
2019-01-25,-1280.2562848151338,-6815.226037650308,4387.834101092259
2019-01-26,-1223.1911048914844,-6777.268332769166,4000.1065091334435
2019-01-27,-1123.252820573569,-6896.501019056161,4374.0838749315535
2019-01-28,-924.359508234249,-6496.92787731865,4745.732510586412
2019-01-29,-845.583519857485,-6432.464690873401,4680.028111881719
2019-01-30,-604.8586603049007,-6281.2122049006375,4586.065497548507
2019-01-31,-472.3419260198898,-6088.692142721828,5096.392426130946
2019-02-01,-260.3457876958282,-6016.370447180851,5466.429659154942
2019-02-02,-13.64679408091797,-5598.039244352497,5610.806140933003
2019-02-03,271.5746763697789,-5287.589855377212,5849.976922522782
2019-02-04,647.6415239594062,-5171.33574534394,6360.737865883079
2019-02-05,891.9375891971176,-4869.623455693871,6455.292933554369
2019-02-06,1283.2836960138507,-4718.462018791332,6693.197130488398
2019-02-07,1548.6515013415842,-3681.45344895799,7190.6808438227245
2019-02-08,1873.2972773342208,-3637.908486305021,8019.873034864948
2019-02-09,2210.508204634461,-3729.354544026373,7788.376133906946
2019-02-10,2562.7049951627023,-2992.235594138103,8631.667115734273
2019-02-11,2981.3778222414685,-2430.0595958219833,8556.81261500441
2019-02-12,3243.658572011728,-2668.4005190769826,9000.666181288721
2019-02-13,3628.6969343552328,-2456.194270840276,8976.182345879966
2019-02-14,3864.359823092428,-1957.9077742796248,9913.915287567055
2019-02-15,4137.336690057453,-1527.6970354792857,9328.442379070799
